0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,,,,,,,,,,,,,,,,
(In millions),,"Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,",,,"Nine Months EndedMarch 31,","Nine Months EndedMarch 31,","Nine Months EndedMarch 31,","Nine Months EndedMarch 31,","Nine Months EndedMarch 31,","Nine Months EndedMarch 31,",
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,2026,2026,,,2025,2025,,,2026,2026,,,2025,2025,
,,,,,,,,,,,,,,,,
Interest and dividends income,,$,730,,,$,597,,,$,2546,,,$,1878,
Interest expense,,,(778,),,,(594,),,,"(2,212",),,,"(1,770",)
Net recognized gains (losses) on investments,,,1652,,,,111,,,,1419,,,,(286,)
Net gains (losses) on derivatives,,,124,,,,187,,,,1740,,,,(267,)
Net gains (losses) on foreign currency remeasurements,,,(295,),,,89,,,,(367,),,,112,
"Other, net",,,(491,),,,"(1,013",),,,4127,,,,"(2,861",)
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Total,,$,942,,,$,(623,),,$,7253,,,$,"(3,194",)
,,,,,,,,,,,,,,,,
