0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,,,,,,,,,,,,,,,,
(In millions),,,"Three Months EndedMarch 31,","Three Months EndedMarch 31,","Three Months EndedMarch 31,","Three Months EndedMarch 31,","Three Months EndedMarch 31,",,,"Nine Months EndedMarch 31,","Nine Months EndedMarch 31,","Nine Months EndedMarch 31,","Nine Months EndedMarch 31,","Nine Months EndedMarch 31,","Nine Months EndedMarch 31,",
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,2026,,,,2025,,,2026,2026,,,2025,2025,
,,,,,,,,,,,,,,,,
Server products and cloud services,,$,32592,,,$,24761,,,$,92329,,,$,70557,
Microsoft 365 Commercial products and cloud services,,,25593,,,,21883,,,,74083,,,,63449,
Gaming,,,5341,,,,5721,,,,16807,,,,17923,
LinkedIn,,,4832,,,,4311,,,,14628,,,,13190,
Windows and Devices,,,4041,,,,4144,,,,13071,,,,12985,
Search advertising,,,3808,,,,3504,,,,11317,,,,10287,
Microsoft 365 Consumer products and cloud services,,,2297,,,,1821,,,,6806,,,,5369,
Dynamics products and cloud services,,,2292,,,,1929,,,,6632,,,,5691,
Enterprise and partner services,,,2087,,,,1946,,,,6147,,,,5766,
Other,,,3,,,,46,,,,12,,,,66,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Total,,$,82886,,,$,70066,,,$,241832,,,$,205283,
,,,,,,,,,,,,,,,,
