0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
,,,,,,,,,,,,,,,,,,,,,,,,
"(In millions, issuance by calendar year)",,Maturities(calendar year),Maturities(calendar year),Maturities(calendar year),Maturities(calendar year),,Stated InterestRate,Stated InterestRate,Stated InterestRate,Stated InterestRate,,,Effective InterestRate,Effective InterestRate,Effective InterestRate,,,"March 31,2026","March 31,2026",,,"June 30,2025","June 30,2025",
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
2009 issuance of $3.8 billion,,,,,2039,,,,,5.20%,,,,,5.24%,,,$,520,,,$,520,
2010 issuance of $4.8 billion,,,,,2040,,,,,4.50%,,,,,4.57%,,,,486,,,,486,
2011 issuance of $2.3 billion,,,,,2041,,,,,5.30%,,,,,5.36%,,,,718,,,,718,
2012 issuance of $2.3 billion,,,,,2042,,,,,3.50%,,,,,3.57%,,,,454,,,,454,
2013 issuance of $5.2 billion,,,,,2043,,,3.75%,–,4.88%,,,3.83%,–,4.92%,,,,314,,,,314,
2013 issuance of €4.1 billion,,,2028,–,2033,,,2.63%,–,3.13%,,,2.69%,–,3.22%,,,,2650,,,,2700,
2015 issuance of $23.8 billion,,,2035,–,2055,,,3.50%,–,4.75%,,,3.60%,–,4.78%,,,,4555,,,,7555,
2016 issuance of $19.8 billion,,,2026,–,2056,,,2.40%,–,3.95%,,,2.46%,–,4.03%,,,,7930,,,,7930,
2017 issuance of $17.1 billion,,,2026,–,2057,,,3.30%,–,4.50%,,,3.38%,–,5.49%,,,,6833,,,,6833,
2020 issuance of $10.1 billion,,,2030,–,2060,,,1.35%,–,2.68%,,,2.53%,–,5.43%,,,,10111,,,,10111,
2021 issuance of $8.2 billion,,,2052,–,2062,,,2.92%,–,3.04%,,,2.92%,–,3.04%,,,,8185,,,,8185,
2023 issuance of $0.1 billion,,,2026,–,2050,,,1.35%,–,4.50%,,,5.16%,–,5.49%,,,,56,,,,56,
2024 issuance of $3.3 billion,,,2026,–,2050,,,1.35%,–,4.50%,,,5.16%,–,5.49%,,,,3344,,,,3344,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Total face value,,,,,,,,,,,,,,,,,,,46156,,,,49206,
Unamortized discount and issuance costs,,,,,,,,,,,,,,,,,,,"(1,098",),,,"(1,155",)
Hedge fair value adjustments (a),,,,,,,,,,,,,,,,,,,(17,),,,(36,)
Premium on debt exchange,,,,,,,,,,,,,,,,,,,"(4,779",),,,"(4,864",)
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Total debt,,,,,,,,,,,,,,,,,,,40262,,,,43151,
Current portion of long-term debt,,,,,,,,,,,,,,,,,,,"(8,839",),,,"(2,999",)
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Long-term debt,,,,,,,,,,,,,,,,,,$,31423,,,$,40152,
,,,,,,,,,,,,,,,,,,,,,,,,
