0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,,,,,,,,,,,,,,,,
(In millions),,,"Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,",,,,"Nine Months EndedMarch 31,","Nine Months EndedMarch 31,","Nine Months EndedMarch 31,","Nine Months EndedMarch 31,","Nine Months EndedMarch 31,",
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,2026,,,,2025,,,,2026,,,,2025,
,,,,,,,,,,,,,,,,
Designated as Fair Value Hedging Instruments,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Interest rate contracts,,,,,,,,,,,,,,,,
Derivatives,,$,(2,),,$,3,,,$,(4,),,$,5,
Hedged items,,,(4,),,,(12,),,,(19,),,,(36,)
,,,,,,,,,,,,,,,,
Designated as Cash Flow Hedging Instruments,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Foreign exchange contracts,,,,,,,,,,,,,,,,
Amount reclassified from accumulated other comprehensive loss,,,(34,),,,50,,,,(46,),,,(7,)
,,,,,,,,,,,,,,,,
Not Designated as Hedging Instruments,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Foreign exchange contracts,,,(100,),,,(372,),,,227,,,,383,
Equity contracts,,,133,,,,176,,,,1743,,,,(283,)
Other contracts,,,(13,),,,18,,,,(7,),,,16,
,,,,,,,,,,,,,,,,
