0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,,,"As of December 31, 2025","As of December 31, 2025","As of December 31, 2025",,,,"As of March 31, 2026","As of March 31, 2026","As of March 31, 2026"
Operating leases:,Operating leases:,Operating leases:,,,,,,,,,
Operating lease assets,Operating lease assets,Operating lease assets,$,15221,,,,,$,15509,
,,,,,,,,,,,
Accrued expenses and other liabilities,Accrued expenses and other liabilities,Accrued expenses and other liabilities,$,3209,,,,,$,3178,
Operating lease liabilities,Operating lease liabilities,Operating lease liabilities,12744,12744,,,,,12983,12983,
Total operating lease liabilities,Total operating lease liabilities,Total operating lease liabilities,$,15954,,,,,$,16161,
Finance leases:,Finance leases:,Finance leases:,,,,,,,,,
"Property and equipment, at cost","Property and equipment, at cost","Property and equipment, at cost",$,6822,,,,,$,7036,
Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,"(2,025)","(2,025)",,,,,"(2,203)","(2,203)",
"Property and equipment, net","Property and equipment, net","Property and equipment, net",$,4797,,,,,$,4833,
,,,,,,,,,,,
Accrued expenses and other liabilities,Accrued expenses and other liabilities,Accrued expenses and other liabilities,$,441,,,,,$,177,
Other long-term liabilities,Other long-term liabilities,Other long-term liabilities,2059,2059,,,,,2037,2037,
Total finance lease liabilities,Total finance lease liabilities,Total finance lease liabilities,$,2500,,,,,$,2214,
