0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,,,,,,,,,,,,,,,,
(In millions),,"Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,",,,,"Nine Months Ended March 31,","Nine Months Ended March 31,","Nine Months Ended March 31,","Nine Months Ended March 31,","Nine Months Ended March 31,",
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,2026,,,,2025,,,,2026,,,,2025,
,,,,,,,,,,,,,,,,
Productivity and Business Processes,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Revenue,,$,35013,,,$,29944,,,$,102149,,,$,87698,
Cost of revenue,,,6197,,,,5517,,,,18028,,,,16380,
Operating expenses,,,7843,,,,7048,,,,22142,,,,20538,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Operating income,,$,20973,,,$,17379,,,$,61979,,,$,50780,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Intelligent Cloud,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Revenue,,$,34681,,,$,26751,,,$,98485,,,$,76387,
Cost of revenue,,,15120,,,,10307,,,,41000,,,,28326,
Operating expenses,,,5808,,,,5349,,,,16468,,,,15612,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Operating income,,$,13753,,,$,11095,,,$,41017,,,$,32449,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
More Personal Computing,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Revenue,,$,13192,,,$,13371,,,$,41198,,,$,41198,
Cost of revenue,,,5511,,,,6095,,,,17821,,,,19111,
Operating expenses,,,4009,,,,3750,,,,11739,,,,11111,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Operating income,,$,3672,,,$,3526,,,$,11638,,,$,10976,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Revenue,,$,82886,,,$,70066,,,$,241832,,,$,205283,
Cost of revenue,,,26828,,,,21919,,,,76849,,,,63817,
Operating expenses,,,17660,,,,16147,,,,50349,,,,47261,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Operating income,,$,38398,,,$,32000,,,$,114634,,,$,94205,
,,,,,,,,,,,,,,,,
