0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,,,"As of December 31, 2025","As of December 31, 2025","As of December 31, 2025",,,,"As of March 31, 2026","As of March 31, 2026","As of March 31, 2026"
Technical infrastructure(1),Technical infrastructure(1),Technical infrastructure(1),$,203679,,,,,$,217886,
Office space,Office space,Office space,48348,48348,,,,,48772,48772,
Corporate and other assets,Corporate and other assets,Corporate and other assets,14463,14463,,,,,5945,5945,
"Property and equipment, in service","Property and equipment, in service","Property and equipment, in service",266490,266490,,,,,272603,272603,
Less: accumulated depreciation,Less: accumulated depreciation,Less: accumulated depreciation,"(98,485)","(98,485)",,,,,"(100,180)","(100,180)",
Add: assets not yet in service,Add: assets not yet in service,Add: assets not yet in service,78592,78592,,,,,108597,108597,
"Property and equipment, net","Property and equipment, net","Property and equipment, net",$,246597,,,,,$,281020,
