0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,,,,,,,,,,,,,,,,
(In millions),,"Three Months EndedMarch 31,","Three Months EndedMarch 31,","Three Months EndedMarch 31,","Three Months EndedMarch 31,","Three Months EndedMarch 31,","Three Months EndedMarch 31,",,,,"Nine Months EndedMarch 31,","Nine Months EndedMarch 31,","Nine Months EndedMarch 31,","Nine Months EndedMarch 31,","Nine Months EndedMarch 31,",
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,2026,,,,2025,,,,2026,,,,2025,
,,,,,,,,,,,,,,,,
Derivatives,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Balance, beginning of period",,$,(14,),,$,21,,,$,(8,),,$,(3,)
"Unrealized gains (losses), net of tax of $(7), $5, $(11), and $(1)",,,(27,),,,20,,,,(43,),,,(1,)
"Reclassification adjustments for (gains) losses included in other income (expense), net",,,34,,,,(50,),,,46,,,,7,
Tax expense (benefit) included in provision for income taxes,,,(7,),,,10,,,,(9,),,,(2,)
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Amounts reclassified from accumulated other comprehensive loss,,,27,,,,(40,),,,37,,,,5,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Net change related to derivatives, net of tax of $0, $(5), $(2), and $1",,,0,,,,(20,),,,(6,),,,4,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Balance, end of period",,$,(14,),,$,1,,,$,(14,),,$,1,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Investments,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Balance, beginning of period",,$,(525,),,$,"(1,945",),,$,"(1,051",),,$,"(2,625",)
"Unrealized gains (losses), net of tax of $(58), $118, $82, and $294",,,(215,),,,445,,,,310,,,,1110,
"Reclassification adjustments for (gains) losses included in other income (expense), net",,,(30,),,,6,,,,(29,),,,25,
Tax expense (benefit) included in provision for income taxes,,,6,,,,(1,),,,6,,,,(5,)
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Amounts reclassified from accumulated other comprehensive loss,,,(24,),,,5,,,,(23,),,,20,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Net change related to investments, net of tax of $(64), $119, $76, and $299",,,(239,),,,450,,,,287,,,,1130,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Balance, end of period",,$,(764,),,$,"(1,495",),,$,(764,),,$,"(1,495",)
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Translation Adjustments and Other,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Balance, beginning of period",,$,"(2,163",),,$,"(3,692",),,$,"(2,288",),,$,"(2,962",)
"Translation adjustments and other, net of tax of $0, $0, $0, and $0",,,(287,),,,353,,,,(162,),,,(377,)
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Balance, end of period",,$,"(2,450",),,$,"(3,339",),,$,"(2,450",),,$,"(3,339",)
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Accumulated other comprehensive loss, end of period",,$,"(3,228",),,$,"(4,833",),,$,"(3,228",),,$,"(4,833",)
,,,,,,,,,,,,,,,,
