0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,,,,,,,,,,,,,,,,
(In millions) (Unaudited),,"Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,",,,"Nine Months Ended March 31,","Nine Months Ended March 31,","Nine Months Ended March 31,","Nine Months Ended March 31,","Nine Months Ended March 31,","Nine Months Ended March 31,",
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,2026,2026,,,2025,2025,,,,2026,,,,2025,
,,,,,,,,,,,,,,,,
Net income,,$,31778,,,$,25824,,,$,97983,,,$,74599,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Other comprehensive income (loss), net of tax:",,,,,,,,,,,,,,,,
Net change related to derivatives,,,0,,,,(20,),,,(6,),,,4,
Net change related to investments,,,(239,),,,450,,,,287,,,,1130,
Translation adjustments and other,,,(287,),,,353,,,,(162,),,,(377,)
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Other comprehensive income (loss),,,(526,),,,783,,,,119,,,,757,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Comprehensive income,,$,31252,,,$,26607,,,$,98102,,,$,75356,
,,,,,,,,,,,,,,,,
