0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,,,,,,,,,,,,,,,,
(In millions),,"Three Months EndedMarch 31,","Three Months EndedMarch 31,","Three Months EndedMarch 31,","Three Months EndedMarch 31,","Three Months EndedMarch 31,","Three Months EndedMarch 31,",,,,"Nine Months EndedMarch 31,","Nine Months EndedMarch 31,","Nine Months EndedMarch 31,","Nine Months EndedMarch 31,","Nine Months EndedMarch 31,",
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,2026,2026,,,2025,2025,,,,2026,,,,2025,
,,,,,,,,,,,,,,,,
Realized gains from sales of available-for-sale securities,,$,54,,,$,8,,,$,89,,,$,25,
Realized losses from sales of available-for-sale securities,,,(18,),,,(17,),,,(37,),,,(51,)
Impairments and allowance for credit losses,,,(6,),,,3,,,,(23,),,,1,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Total,,$,30,,,$,(6,),,$,29,,,$,(25,)
,,,,,,,,,,,,,,,,
