0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,,,"March 28, 2026","March 28, 2026","March 28, 2026",,,,"September 27, 2025","September 27, 2025","September 27, 2025"
ASSETS:,ASSETS:,ASSETS:,ASSETS:,ASSETS:,ASSETS:,ASSETS:,ASSETS:,ASSETS:,ASSETS:,ASSETS:,ASSETS:
Current assets:,Current assets:,Current assets:,,,,,,,,,
Cash and cash equivalents,Cash and cash equivalents,Cash and cash equivalents,$,45572,,,,,$,35934,
Marketable securities,Marketable securities,Marketable securities,22935,22935,,,,,18763,18763,
"Accounts receivable, net","Accounts receivable, net","Accounts receivable, net",30339,30339,,,,,39777,39777,
Vendor non-trade receivables,Vendor non-trade receivables,Vendor non-trade receivables,23172,23172,,,,,33180,33180,
Inventories,Inventories,Inventories,6747,6747,,,,,5718,5718,
Other current assets,Other current assets,Other current assets,15349,15349,,,,,14585,14585,
Total current assets,Total current assets,Total current assets,144114,144114,,,,,147957,147957,
,,,,,,,,,,,
Non-current assets:,Non-current assets:,Non-current assets:,,,,,,,,,
Marketable securities,Marketable securities,Marketable securities,78088,78088,,,,,77723,77723,
"Property, plant and equipment, net","Property, plant and equipment, net","Property, plant and equipment, net",50116,50116,,,,,49834,49834,
"Intangible assets, net","Intangible assets, net","Intangible assets, net",21334,21334,,,,,11093,11093,
Other non-current assets,Other non-current assets,Other non-current assets,77430,77430,,,,,72634,72634,
Total non-current assets,Total non-current assets,Total non-current assets,226968,226968,,,,,211284,211284,
Total assets,Total assets,Total assets,$,371082,,,,,$,359241,
,,,,,,,,,,,
LIABILITIES AND SHAREHOLDERS’ EQUITY:,LIABILITIES AND SHAREHOLDERS’ EQUITY:,LIABILITIES AND SHAREHOLDERS’ EQUITY:,LIABILITIES AND SHAREHOLDERS’ EQUITY:,LIABILITIES AND SHAREHOLDERS’ EQUITY:,LIABILITIES AND SHAREHOLDERS’ EQUITY:,LIABILITIES AND SHAREHOLDERS’ EQUITY:,LIABILITIES AND SHAREHOLDERS’ EQUITY:,LIABILITIES AND SHAREHOLDERS’ EQUITY:,LIABILITIES AND SHAREHOLDERS’ EQUITY:,LIABILITIES AND SHAREHOLDERS’ EQUITY:,LIABILITIES AND SHAREHOLDERS’ EQUITY:
Current liabilities:,Current liabilities:,Current liabilities:,,,,,,,,,
Accounts payable,Accounts payable,Accounts payable,$,57349,,,,,$,69860,
Other current liabilities,Other current liabilities,Other current liabilities,57654,57654,,,,,66387,66387,
Deferred revenue,Deferred revenue,Deferred revenue,9331,9331,,,,,9055,9055,
Commercial paper,Commercial paper,Commercial paper,1997,1997,,,,,7979,7979,
Term debt,Term debt,Term debt,8310,8310,,,,,12350,12350,
Total current liabilities,Total current liabilities,Total current liabilities,134641,134641,,,,,165631,165631,
,,,,,,,,,,,
Non-current liabilities:,Non-current liabilities:,Non-current liabilities:,,,,,,,,,
Term debt,Term debt,Term debt,74404,74404,,,,,78328,78328,
Other non-current liabilities,Other non-current liabilities,Other non-current liabilities,55546,55546,,,,,41549,41549,
Total non-current liabilities,Total non-current liabilities,Total non-current liabilities,129950,129950,,,,,119877,119877,
Total liabilities,Total liabilities,Total liabilities,264591,264591,,,,,285508,285508,
,,,,,,,,,,,
Commitments and contingencies,Commitments and contingencies,Commitments and contingencies,,,,,,,,,
,,,,,,,,,,,
Shareholders’ equity:,Shareholders’ equity:,Shareholders’ equity:,,,,,,,,,
"Common stock and additional paid-in capital, $0.00001 par value: 50,400,000 shares authorized; 14,667,688 and 14,773,260 shares issued and outstanding, respectively","Common stock and additional paid-in capital, $0.00001 par value: 50,400,000 shares authorized; 14,667,688 and 14,773,260 shares issued and outstanding, respectively","Common stock and additional paid-in capital, $0.00001 par value: 50,400,000 shares authorized; 14,667,688 and 14,773,260 shares issued and outstanding, respectively",99507,99507,,,,,93568,93568,
Retained earnings/(Accumulated deficit),Retained earnings/(Accumulated deficit),Retained earnings/(Accumulated deficit),12359,12359,,,,,"(14,264)","(14,264)",
Accumulated other comprehensive loss,Accumulated other comprehensive loss,Accumulated other comprehensive loss,"(5,375)","(5,375)",,,,,"(5,571)","(5,571)",
Total shareholders’ equity,Total shareholders’ equity,Total shareholders’ equity,106491,106491,,,,,73733,73733,
Total liabilities and shareholders’ equity,Total liabilities and shareholders’ equity,Total liabilities and shareholders’ equity,$,371082,,,,,$,359241,
