0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,,,"As of December 31, 2025","As of December 31, 2025","As of December 31, 2025",,,,"As of March 31, 2026","As of March 31, 2026","As of March 31, 2026"
Accrued fines and settlements(1),Accrued fines and settlements(1),Accrued fines and settlements(1),$,15594,,,,,$,15551,
Accrued purchases of property and equipment,Accrued purchases of property and equipment,Accrued purchases of property and equipment,8877,8877,,,,,12873,12873,
Accrued customer liabilities,Accrued customer liabilities,Accrued customer liabilities,5029,5029,,,,,4965,4965,
Payables to brokers for unsettled investment trades,Payables to brokers for unsettled investment trades,Payables to brokers for unsettled investment trades,950,950,,,,,631,631,
"Income taxes payable, net","Income taxes payable, net","Income taxes payable, net",523,523,,,,,3905,3905,
Other accrued expenses and current liabilities,Other accrued expenses and current liabilities,Other accrued expenses and current liabilities,24584,24584,,,,,25094,25094,
Accrued expenses and other current liabilities,Accrued expenses and other current liabilities,Accrued expenses and other current liabilities,$,55557,,,,,$,63019,
