0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,,,"As of December 31, 2025","As of December 31, 2025","As of December 31, 2025",,,,"As of March 31, 2026","As of March 31, 2026","As of March 31, 2026"
Derivatives designated as hedging instruments:,Derivatives designated as hedging instruments:,Derivatives designated as hedging instruments:,Derivatives designated as hedging instruments:,Derivatives designated as hedging instruments:,Derivatives designated as hedging instruments:,,,,,,
Foreign exchange derivatives,Foreign exchange derivatives,Foreign exchange derivatives,,,,,,,,,
Cash flow hedges,Cash flow hedges,Cash flow hedges,$,23852,,,,,$,23448,
Net investment hedges,Net investment hedges,Net investment hedges,$,14203,,,,,$,14020,
Derivatives not designated as hedging instruments:,Derivatives not designated as hedging instruments:,Derivatives not designated as hedging instruments:,Derivatives not designated as hedging instruments:,Derivatives not designated as hedging instruments:,Derivatives not designated as hedging instruments:,,,,,,
Foreign exchange derivatives,Foreign exchange derivatives,Foreign exchange derivatives,$,56085,,,,,$,51976,
Equity derivatives,Equity derivatives,Equity derivatives,$,0,,,,,$,30000,
Credit derivatives,Credit derivatives,Credit derivatives,$,16940,,,,,$,28436,
Other derivatives,Other derivatives,Other derivatives,$,15900,,,,,$,15862,
